id,dialect
1009754958479151232,LY
1009794751548313600,LY
1019989115490787200,LY
1035479791758135168,LY
1035481122921164800,LY
877881537122979840,LY
882940840888471552,LY
882941769444466688,LY
882943694906818560,LY
884736569118261248,LY
885424032681787392,LY
885489129500311552,LY
887981437642780672,LY
887983777661812736,LY
889442240703213568,LY
889523960915918848,LY
889524145733734400,LY
889787073032585216,LY
895660190267187200,LY
897493142202613760,LY
897494670758088704,LY
897495338990415872,LY
897495659057754112,LY
897496275196760064,LY
898481556486053888,LY
904739253833302016,LY
904934740729503616,LY
905099818346832000,LY
907630925525131264,LY
907989965950341248,LY
934006712478072832,LY
934073074571411584,LY
949311937074139136,LY
953620690778894336,LY
956579358461833216,LY
964450503437451264,LY
974642506955706368,LY
976436530867826816,LY
977166121383194624,LY
992003468993945600,LY
994880703866265600,LY
1070725944489447424,LY
1070739263988424832,LY
1071073563682193408,LY
1071672216868282368,LY
1071690722745700352,LY
1071696539574243200,LY
1071704703942176768,LY
1071770187265916800,LY
1074203134577250432,LY
1074230956544921600,LY
1075714431978487808,LY
1077500110433603584,LY
1077501496646922240,LY
1079408857632440448,LY
1082301544748466176,LY
1084147717482446848,LY
1084799497568432000,LY
1084801313832165376,LY
1084805772607917952,LY
1085209216229560448,LY
1085450198040698752,LY
1087239822043942784,LY
1087800656797286400,LY
1087813951755350016,LY
1089592267424321536,LY
1089592361703956352,LY
1092443641942077440,LY
1092464899178066048,LY
1092471212079484800,LY
1092726350102884352,LY
1092748892813303808,LY
1093455662372274176,LY
1095693568935673984,LY
1095960815419691008,LY
1097464212945817600,LY
1099423964491845632,LY
1099651614279909376,LY
1101058700696055808,LY
1101880323795759232,LY
1101880529845145600,LY
1105749850405158784,LY
1105901491917860864,LY
1105905876857225216,LY
1105906047179546624,LY
1105907817968480384,LY
1105909285513543552,LY
1105910630882689024,LY
1105911136204013568,LY
1108698893276065792,LY
1109165878602592384,LY
1112039333526233216,LY
1112040181626998784,LY
1130655992486727552,LY
1130678758090977152,LY
1132076489720193024,LY
1132079341989486592,LY
1132080017066864640,LY
1132084364576272384,LY
1132832064242368384,LY
1133532848336588800,LY
1135750887169826816,LY
1137435308381933568,LY
1137436072978395136,LY
1137436693798236160,LY
1137436880780308352,LY
1138918505330421760,LY
1150874255950848000,LY
1150874414231314432,LY
1150911213372657664,LY
1157106467603963904,LY
1159223025839104000,LY
1159292118134919168,LY
1161083674873475072,LY
1162880356535676928,LY
1162880939531427840,LY
1162884197922615296,LY
1163151735977893888,LY
1164182249375444992,LY
1166677234188464128,LY
1166678163881172992,LY
1166679201904308224,LY
1166679711868755968,LY
1168321609968566272,LY
1168327562864603136,LY
1173697154390646784,LY
854984448215060480,LY
